Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,TX,Texas,Atascosa,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,42.2,,,34.9,49.7,"51,784","38,008",48013,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-98.5272274832312 28.8935255788909)
2023,TX,Texas,Jack,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.4,,,25.2,36.1,"8,875","6,909",48237,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-98.1724400107934 33.2337317040923)
2023,TX,Texas,Bell,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,43.2,,,38.1,48.0,"393,193","285,194",48027,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-97.4786872418696 31.0373016000356)
2023,TX,Texas,Live Oak,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,35.0,,,29.7,41.6,"11,584","9,407",48297,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-98.1248739225025 28.3514151858659)
2023,TX,Texas,Anderson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.6,,,25.3,36.1,"57,736","46,379",48001,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-95.6522925576106 31.8129156311575)
2023,TX,Texas,Lampasas,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,27.8,,,22.9,33.0,"23,262","18,331",48281,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-98.2414108131031 31.1962436760644)
2023,TX,Texas,Burleson,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,35.9,,,27.2,45.5,"19,475","15,139",48051,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-96.6204059501343 30.4920545353374)
2023,TX,Texas,Cooke,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,36.1,,,27.4,44.6,"43,782","33,539",48097,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-97.2125058792431 33.6394026274066)
2023,TX,Texas,Brooks,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,42.8,,,38.2,47.3,"6,848","5,111",48047,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-98.2186652765607 27.0315471342621)
2023,TX,Texas,Kerr,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,28.0,,,22.7,33.6,"53,915","44,017",48265,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-99.350036097122 30.0614415386798)
2023,TX,Texas,Gray,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,31.6,,,25.9,37.3,"20,916","15,662",48179,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-100.812739155708 35.4008162101796)
2023,TX,Texas,Goliad,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.4,,,24.9,36.0,"7,144","5,744",48175,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-97.4261528642449 28.6572997486097)
2023,TX,Texas,Anderson,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,39.9,,,31.2,48.9,"57,736","46,379",48001,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-95.6522925576106 31.8129156311575)
2023,TX,Texas,Kendall,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,21.2,,,17.4,25.7,"50,537","39,429",48259,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-98.7115403167654 29.9447622449923)
2023,TX,Texas,Harris,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,26.8,,,23.1,30.8,"4,835,125","3,595,915",48201,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-95.393015286316 29.8574661549995)
2023,TX,Texas,Hill,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.4,,,25.2,35.9,"38,101","29,280",48217,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-97.1326290825318 31.9907752386382)
2023,TX,Texas,Montague,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,35.0,,,26.6,43.1,"21,598","16,711",48337,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-97.7244465016151 33.6754382941616)
2023,TX,Texas,Menard,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,33.3,,,27.5,39.5,"1,958","1,592",48327,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-99.8204913138862 30.8899004486762)
2023,TX,Texas,Maverick,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,43.9,,,35.1,52.8,"57,762","39,943",48323,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-100.314712849435 28.7428098080627)
2023,TX,Texas,Hansford,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,31.0,,,25.4,36.6,"5,071","3,618",48195,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-101.354568947694 36.2774356712956)
2023,TX,Texas,Hall,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,34.4,,,29.1,40.3,"2,818","2,210",48191,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-100.68136474111 34.5307336832386)
2023,TX,Texas,Calhoun,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,34.8,,,27.2,43.2,"19,696","15,174",48057,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-96.6045764033046 28.5035343577971)
2023,TX,Texas,Frio,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,38.6,,,32.5,44.8,"17,987","13,345",48163,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-99.1082691100666 28.8676630921064)
2023,TX,Texas,Liberty,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,40.1,,,31.7,49.0,"108,272","75,346",48291,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-94.812237365989 30.1515050413894)
2023,TX,Texas,Cherokee,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,35.7,,,27.6,44.4,"52,217","39,032",48073,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-95.1654294685663 31.8369558998934)
2023,TX,Texas,Kleberg,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,37.1,,,29.0,46.0,"30,069","22,867",48273,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-97.7241429287968 27.4313553016512)
2023,TX,Texas,Lamar,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.1,,,24.7,36.1,"51,127","38,549",48277,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-95.5711286178651 33.6669168991242)
2023,TX,Texas,Motley,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,28.8,,,25.0,32.6,"1,020",819,48345,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-100.779742210669 34.0740864379362)
2023,TX,Texas,Crockett,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,35.3,,,29.6,41.1,"2,858","2,119",48105,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-101.412113870434 30.7229410965866)
