"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2023,"CA","California","San Benito","BRFSS","Disability","Independent living disability among adults","%","Age-adjusted prevalence",7.9,"","",6.8,9.1,"68,175","51,135",6069,"DISABLT","INDEPLIVE","AgeAdjPrv","Independent Living Disability","POINT (-121.074673078268 36.605429011687)"
2023,"AL","Alabama","Henry","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence",25.2,"","",21.6,29.4,"17,899","14,236",1067,"HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-85.2412788046304 31.5148475570572)"
2023,"AZ","Arizona","Maricopa","BRFSS","Disability","Cognitive disability among adults","%","Age-adjusted prevalence",13.8,"","",12,15.8,"4,585,871","3,572,375",4013,"DISABLT","COGNITION","AgeAdjPrv","Cognitive Disability","POINT (-112.491401814525 33.3490920459607)"
2023,"AL","Alabama","Limestone","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence",86.4,"","",84.1,88.5,"114,654","89,453",1083,"PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-86.9814538074536 34.8102607960627)"
2023,"AR","Arkansas","Searcy","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence",25.8,"","",21.7,30.2,"7,806","6,215",5129,"SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support","POINT (-92.6994901353755 35.9111264752522)"
2023,"AR","Arkansas","Clark","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence",16.7,"","",14.4,19.1,"21,274","16,965",5019,"DISABLT","MOBILITY","CrdPrv","Mobility Disability","POINT (-93.1767308539705 34.0510757211807)"
2023,"AR","Arkansas","Conway","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence",36.5,"","",30.9,42.6,"21,077","16,337",5029,"RISKBEH","LPA","CrdPrv","Physical Inactivity","POINT (-92.701239973211 35.2625436321328)"
2023,"AL","Alabama","Wilcox","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence",85.2,"","",82.9,87.3,"9,944","7,755",1131,"PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-87.3083095693845 31.9892939338512)"
2023,"AZ","Arizona","Santa Cruz","BRFSS","Health Status","Frequent physical distress among adults","%","Age-adjusted prevalence",15.1,"","",13.1,17.4,"49,158","36,812",4023,"HLTHSTAT","PHLTH","AgeAdjPrv","Frequent Physical Distress","POINT (-110.846572235272 31.525984062461)"
2023,"CA","California","Modoc","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence",87.6,"","",85.7,89.4,"8,500","6,906",6049,"PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-120.725180763953 41.5897153747434)"
2023,"AZ","Arizona","Yuma","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence",15.5,"","",13.4,17.6,"213,221","161,189",4027,"HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress","POINT (-113.905997385394 32.7694427722845)"
2022,"AL","Alabama","Dale","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Age-adjusted prevalence",58.4,"","",53.1,63.6,"49,871","38,227",1045,"PREVENT","COLON_SCREEN","AgeAdjPrv","Colorectal Cancer Screening","POINT (-85.6109266826185 31.4316629601359)"
2023,"AR","Arkansas","Arkansas","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence",79.9,"","",77.2,82.3,"16,307","12,549",5001,"PREVENT","BPMED","CrdPrv","High Blood Pressure Medication","POINT (-91.3742443996367 34.2890451226643)"
2023,"AZ","Arizona","Mohave","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Age-adjusted prevalence",20.3,"","",17.5,23.5,"223,682","187,847",4015,"HLTHSTAT","GHLTH","AgeAdjPrv","General Health","POINT (-113.758099268811 35.7044739765542)"
2023,"AZ","Arizona","Gila","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Age-adjusted prevalence",21.6,"","",19,24.2,"54,003","43,968",4007,"HLTHSTAT","GHLTH","AgeAdjPrv","General Health","POINT (-110.812096582079 33.7999645115514)"
